Date,Link,Day,Site,Team,Starter,Opp,Starter2,Final,SUm,W/L,OUm,O/U,Hits,Errors,BL,Line,Total,Innings
"Jul 06, 2019",box,Sat,home,Nationals,Max Scherzer - R,Royals,Glenn Sparkman - R,,,,,,,,,-400,9.0,
"Jul 06, 2019",box,Sat,home,Astros,Gerrit Cole - R,Angels,Andrew Heaney - L,,,,,,,,,-230,8.5,
"Jul 06, 2019",box,Sat,home,Reds,Anthony DeSclafani - R,Indians,Shane Bieber - R,,,,,,,,,120,9.0,
"Jul 06, 2019",box,Sat,away,Yankees,CC Sabathia - L,Rays,Blake Snell - L,,,,,,,,,125,8.5,
"Jul 06, 2019",box,Sat,away,Royals,Glenn Sparkman - R,Nationals,Max Scherzer - R,,,,,,,,,330,9.0,
"Jul 06, 2019",box,Sat,away,Phillies,Jake Arrieta - R,Mets,Noah Syndergaard - R,,,,,,,,,135,9.0,
"Jul 06, 2019",box,Sat,away,Cardinals,Miles Mikolas - R,Giants,Madison Bumgarner - L,,,,,,,,,112,8.0,
"Jul 06, 2019",box,Sat,away,Padres,Chris Paddack - R,Dodgers,Kenta Maeda - R,,,,,,,,,150,8.0,
"Jul 06, 2019",box,Sat,away,Orioles,Andrew Cashner - R,Blue Jays,Clayton Richard - L,,,,,,,,,145,11.0,
"Jul 06, 2019",box,Sat,away,Angels,Andrew Heaney - L,Astros,Gerrit Cole - R,,,,,,,,,205,8.5,
